lon,lat,voterType,COLOR,id
-90.0017411693,44.0516609723,DEM,#0571b0,17132
-90.0003023815,44.0485515367,DEM,#0571b0,17133
-89.9962224616,44.0533553444,DEM,#0571b0,17134
-89.9931889952,44.0345065869,REP,#ca0020,16801
-89.992585243,44.0300002853,REP,#ca0020,16802
-89.9922219713,44.0537605908,NOVOTE,#9999999,17139
-89.9912157869,44.0319175376,DEM,#0571b0,16792
-89.9899118427,44.0323017264,NOVOTE,#9999999,16814
-89.9896435638,44.0266271012,DEM,#0571b0,16796
-89.9890164039,44.0381392243,NOVOTE,#9999999,16810
-89.9880205433,44.0404693157,REP,#ca0020,16803
-89.9878371659,44.0286809607,NOVOTE,#9999999,16811
-89.9841763156,44.0393455004,DEM,#0571b0,16794
-89.9839242169,44.0390022545,DEM,#0571b0,16799
-89.9836688364,44.0605589898,NOVOTE,#9999999,17137
-89.9832262987,44.0433910201,DEM,#0571b0,16800
-89.9820689687,44.0463446079,REP,#ca0020,16805
-89.9819373449,44.0439290905,NOVOTE,#9999999,16816
-89.9809285868,44.0480854726,REP,#ca0020,17135
-89.9801396745,44.0602993373,REP,#ca0020,17136
-89.9799684275,44.0251514281,REP,#ca0020,16804
-89.9792296097,44.0322158215,NOVOTE,#9999999,16815
-89.9788806903,44.103236659,REP,#ca0020,7815
-89.978020255,44.1050690576,DEM,#0571b0,7807
-89.9765758187,44.0302470171,REP,#ca0020,16806
-89.9761111012,44.1020273499,DEM,#0571b0,7798
-89.9758462899,44.0472892464,NOVOTE,#9999999,17138
-89.9754967113,44.1068265552,NOVOTE,#9999999,7824
-89.975219998,44.0493708385,REP,#ca0020,17147
-89.9747968123,44.048713687,DEM,#0571b0,17142
-89.9732581964,44.0196319723,REP,#ca0020,16870
-89.9730785559,44.1025686809,DEM,#0571b0,7802
-89.9719048962,44.1133039598,REP,#ca0020,7817
-89.971784413,44.0195731159,NOVOTE,#9999999,16871
-89.9716098041,44.0342554286,REP,#ca0020,16807
-89.9712178326,44.0261158375,DEM,#0571b0,16798
-89.9709934432,44.1040255211,NOVOTE,#9999999,7823
-89.970835662,44.0533749695,NOVOTE,#9999999,17152
-89.9707223524,44.1103490103,NOVOTE,#9999999,7829
-89.9706775849,44.112971136,DEM,#0571b0,7794
-89.9706120708,44.1038232423,REP,#ca0020,7816
-89.9699918659,44.0064771649,DEM,#0571b0,16828
-89.9698661022,44.1026052552,DEM,#0571b0,7806
-89.969832647,44.114031541,DEM,#0571b0,7804
-89.9696264231,44.0370534184,NOVOTE,#9999999,16813
-89.9692881428,44.1074134127,DEM,#0571b0,7797
-89.9691295875,44.1029870216,REP,#ca0020,7819
-89.9690682276,44.0299540409,NOVOTE,#9999999,16812
-89.9688028128,44.0494310794,REP,#ca0020,17146
-89.9687472131,44.0219288411,DEM,#0571b0,16868
-89.9686126899,44.1062354533,NOVOTE,#9999999,7827
-89.9683353258,44.1116548705,DEM,#0571b0,7805
-89.9682099675,44.0545715634,DEM,#0571b0,17141
-89.9680921631,44.0973918997,DEM,#0571b0,7796
-89.9678810437,44.1072205922,DEM,#0571b0,7795
-89.967780477,44.0515657547,NOVOTE,#9999999,17150
-89.9676066917,44.0063928098,REP,#ca0020,16837
-89.9675909011,44.1015088485,NOVOTE,#9999999,7830
-89.9672663171,44.0560523417,REP,#ca0020,17148
-89.9671669958,44.0521330473,REP,#ca0020,17145
-89.9670133555,44.1008234699,REP,#ca0020,7821
-89.9666394015,44.1019514845,REP,#ca0020,7814
-89.9665135025,44.0067714384,REP,#ca0020,16835
-89.9664627504,44.053038757,NOVOTE,#9999999,17151
-89.9661901119,44.1166150623,REP,#ca0020,7813
-89.9657481095,44.1007091539,NOVOTE,#9999999,7832
-89.9656595607,44.1073861603,REP,#ca0020,7822
